subset,gamma
"PRest,PK,GFR,Vmax_baso,Kurine",46521.84901909845
"PRest,PL,Vmax_baso,Kurine,Kreab",46280.813731036964
"PL,Kbile,Vmax_baso,Kurine,Kreab",45758.32217923662
"PRest,PK,Kbile,Vmax_baso,Kurine",45476.99896281086
"PRest,PK,PL,Vmax_baso,Kurine",45475.71266683667
"PRest,Kbile,Vmax_baso,Kurine,Kreab",45377.79882773958
"PK,PL,Kbile,Vmax_baso,Kurine",45347.363635964175
"PRest,PL,Kbile,Vmax_baso,Kurine",42580.73943778
"Kbile,Free,Vmax_baso,Km_baso,Kreab",24011.975827585604
"Kbile,GFR,Vmax_baso,Km_baso,Kreab",23928.47128179315
"PL,Free,Vmax_baso,Km_baso,Kreab",23715.96503173685
"PL,GFR,Vmax_baso,Km_baso,Kreab",23635.125820405636
"PRest,Kbile,Free,Vmax_baso,Kreab",23290.58213075477
"PK,Kbile,Free,Vmax_baso,Kreab",23241.91097050951
"PRest,Kbile,GFR,Vmax_baso,Kreab",23225.070083366958
"PL,Kbile,Free,Vmax_baso,Kreab",23212.692996924718
"PK,Kbile,GFR,Vmax_baso,Kreab",23169.956775364462
"PRest,PL,Free,Vmax_baso,Kreab",23148.4234140755
"PL,Kbile,GFR,Vmax_baso,Kreab",23146.26302278209
"PK,PL,Free,Vmax_baso,Kreab",23113.065926123112
"PRest,PL,GFR,Vmax_baso,Kreab",23084.981119905846
"PK,PL,GFR,Vmax_baso,Kreab",23042.06730683846
"PRest,Free,Vmax_baso,Km_baso,Kreab",22808.55798482123
"PRest,PK,Free,Vmax_baso,Kreab",22804.619276347104
"PRest,GFR,Vmax_baso,Km_baso,Kreab",22760.0715416355
"PRest,PK,GFR,Vmax_baso,Kreab",22755.093425766565
"PK,Free,Vmax_baso,Km_baso,Kreab",22619.693333000916
"PK,GFR,Vmax_baso,Km_baso,Kreab",22569.069682132926
"PK,Kbile,Vmax_baso,Km_baso,Kreab",21669.06629736133
"PK,PL,Vmax_baso,Km_baso,Kreab",21575.54206406432
"PRest,Kbile,Vmax_baso,Km_baso,Kreab",21538.80869508229
"PL,Kbile,Vmax_baso,Km_baso,Kreab",21417.233684543124
"PRest,PL,Vmax_baso,Km_baso,Kreab",21114.242320537112
"PRest,PK,PL,Vmax_baso,Kreab",19716.73006872767
"PRest,PK,Kbile,Vmax_baso,Kreab",19703.035227659326
"PK,PL,Kbile,Vmax_baso,Kreab",19644.218264035764
"PRest,PL,Kbile,Vmax_baso,Kreab",18343.600069438664
"PRest,PK,Vmax_baso,Km_baso,Kreab",12786.685151875892
"PL,GFR,Km_baso,Kurine,Kreab",6747.305696224578
"Kbile,GFR,Km_baso,Kurine,Kreab",6680.96356523467
"PRest,GFR,Km_baso,Kurine,Kreab",6533.833467864498
"PK,GFR,Km_baso,Kurine,Kreab",6516.239669235183
"PRest,PL,GFR,Km_baso,Kurine",6301.155741439996
"PRest,Kbile,GFR,Km_baso,Kurine",6276.012831905537
"PL,Kbile,GFR,Km_baso,Kurine",6269.987580655352
"PK,PL,GFR,Km_baso,Kurine",6261.054030648988
"PK,Kbile,GFR,Km_baso,Kurine",6236.051896393986
"PL,Free,Km_baso,Kurine,Kreab",5999.639177960773
"Kbile,Free,Km_baso,Kurine,Kreab",5843.218537870317
"PK,Free,Km_baso,Kurine,Kreab",5716.062088813057
"PRest,Free,Km_baso,Kurine,Kreab",5647.872294880216
"PK,Kbile,Km_baso,Kurine,Kreab",5634.153457880533
"PK,PL,Km_baso,Kurine,Kreab",5606.286234335327
"PRest,PL,Km_baso,Kurine,Kreab",5546.6113018681435
"PRest,PL,Free,Km_baso,Kurine",5489.609542889026
"PK,Kbile,Free,Km_baso,Kurine",5485.808662667808
"PRest,Kbile,Free,Km_baso,Kurine",5479.95434689572
"PRest,PK,GFR,Km_baso,Kurine",5468.267676950895
"PK,PL,Free,Km_baso,Kurine",5462.460586865662
"PL,Kbile,Free,Km_baso,Kurine",5364.112395920111
"PRest,PK,Free,Km_baso,Kurine",5294.303298292305
"PRest,PK,Km_baso,Kurine,Kreab",5289.98609622972
"PRest,Kbile,Km_baso,Kurine,Kreab",5250.7773447831
"PL,Kbile,Km_baso,Kurine,Kreab",5137.281802627018
"PRest,PK,PL,Km_baso,Kurine",4858.18947085219
"PRest,PK,Kbile,Km_baso,Kurine",4845.571549435516
"PK,Kbile,GFR,Kurine,Kreab",4780.006573450424
"PK,PL,Kbile,Km_baso,Kurine",4747.657241086612
"PRest,PK,GFR,Kurine,Kreab",4740.634283336448
"PK,PL,GFR,Kurine,Kreab",4721.540137183369
"PRest,PL,Kbile,Km_baso,Kurine",4398.296337131279
"PRest,PL,GFR,Kurine,Kreab",4326.626626854942
"PRest,Kbile,GFR,Kurine,Kreab",4217.237867434601
"PRest,PK,PL,GFR,Kurine",4085.8669689330623
