subset,gamma
"PRest,Free,Km_baso,Kreab",1618.2189517498657
"PL,Kbile,Kurine,Kreab",1581.2758213238399
"PK,PL,Kbile,Vmax_baso",1569.6742978945808
"PRest,Kbile,GFR,Kreab",1557.317509340987
"PRest,PL,GFR,Kreab",1548.741032017022
"PRest,PK,Km_baso,Kreab",1521.297393898178
"PL,Kbile,Vmax_baso,Km_baso",1515.171668161748
"PL,Kbile,GFR,Kreab",1479.211636570679
"Kbile,GFR,Vmax_baso,Km_baso",1446.9090600800696
"PK,PL,Kbile,Kurine",1422.766054326093
"PK,Kbile,GFR,Vmax_baso",1404.3538456384451
"PL,Kbile,Free,Kurine",1358.3351379731353
"PRest,PL,Kbile,Kurine",1357.1206892803918
"PK,Kbile,Vmax_baso,Km_baso",1279.7716959713205
"PK,PL,Kurine,Kreab",1118.287912224737
"PL,Free,Kurine,Kreab",1068.7379660020945
"PRest,PL,Kurine,Kreab",1022.8453843781778
"PL,GFR,Vmax_baso,Km_baso",1007.2782334192484
"PK,Free,Kurine,Kreab",966.842230571937
"PK,PL,GFR,Vmax_baso",961.9386491948934
"PK,PL,Free,Kurine",924.5768356286321
"PK,Kbile,Free,Kurine",883.6963270128588
"PK,PL,Vmax_baso,Km_baso",853.6786258600299
"PRest,PK,Kurine,Kreab",840.6027267485376
"PRest,PK,Free,Kurine",819.5746903784973
"PRest,PK,GFR,Kreab",817.489902447821
"PK,Kbile,Kurine,Kreab",808.91152338162
"PRest,PK,PL,Kurine",790.0406089316115
"PRest,PK,Kbile,Kurine",785.8841085163851
"PK,PL,Kbile,Kreab",677.0790755467693
"PRest,PL,Kbile,Kreab",644.1661970710579
"PL,Kbile,Free,Kreab",641.8864985696066
"Kbile,Free,Kurine,Kreab",628.689182813788
"PRest,Kbile,Kurine,Kreab",614.7345222070483
"PK,PL,Free,Kreab",421.36750205263036
"PK,Kbile,Free,Kreab",401.57742185069947
"PRest,Kbile,Free,Km_baso",375.0743124859474
"PRest,PK,Free,Kreab",366.2901267257516
"PRest,Kbile,GFR,Km_baso",365.511563275657
"PRest,PK,PL,Kreab",358.4838854127889
"PRest,PK,Kbile,Kreab",358.2554547114692
"PRest,PL,Free,Km_baso",345.4495807926548
"PRest,PL,GFR,Km_baso",327.15523510881286
"PRest,PK,Kbile,Km_baso",307.49735251280697
"PRest,PL,Kbile,Km_baso",304.9679946180458
"PRest,PL,Free,Kurine",300.5786408079507
"PRest,PK,Free,Km_baso",294.6131416106664
"PRest,PK,Kbile,GFR",285.20769782905745
"PRest,PK,PL,Km_baso",283.3307254653578
"PRest,PK,PL,GFR",276.30141567441416
"PL,Kbile,Free,Km_baso",269.0379026220884
"PRest,PL,Kbile,GFR",264.40625337828277
"PK,Kbile,Free,Km_baso",251.4619154945173
"PRest,PK,GFR,Km_baso",250.84702286056074
"PRest,Kbile,Free,Kurine",229.6952340556361
"PL,Kbile,GFR,Km_baso",217.71289733960924
"PK,PL,Free,Km_baso",215.49746354949147
"PK,PL,Kbile,Km_baso",184.78315207778954
"PK,Kbile,GFR,Km_baso",179.98302402039593
"PK,PL,Kbile,GFR",173.5555897403264
"PRest,Free,Kurine,Kreab",171.124409548396
"PRest,PL,Free,Kreab",137.99087574824534
"PK,PL,GFR,Km_baso",117.82610524276771
"PRest,PL,Kbile,Free",114.71384808795156
"PRest,PK,PL,Kbile",105.8151301818976
"PRest,Kbile,Free,Kreab",101.88125613605227
"PK,PL,Kbile,Free",88.53688940674114
"PK,GFR,Vmax_baso,Km_baso",83.97535064418538
"PRest,PK,PL,Free",76.74770959376153
"PRest,PK,Kbile,Free",76.64459104956214
