subset,gamma
"GFR,Free,Kurine,Kreab",5755411.553209646
"PK,GFR,Free,Kurine",5564041.640864609
"PRest,GFR,Free,Kurine",5437167.819315716
"PL,GFR,Free,Kurine",5352864.866977802
"Kbile,GFR,Free,Kurine",5333621.485174146
"GFR,Free,Vmax_baso,Kurine",5330679.517929294
"GFR,Free,Km_baso,Kurine",5328418.1749306
"PK,GFR,Free,Kreab",2507615.8180540293
"PL,GFR,Free,Kreab",2418921.258526241
"PRest,GFR,Free,Kreab",2410535.626182999
"Kbile,GFR,Free,Kreab",2398167.5335168615
"GFR,Free,Km_baso,Kreab",2379249.1348509085
"GFR,Free,Vmax_baso,Kreab",2361002.362803666
"PRest,Kbile,GFR,Free",456436.9216764222
"PRest,PK,GFR,Free",441639.9789349888
"PRest,PL,GFR,Free",437766.9548723325
"PRest,GFR,Free,Km_baso",419085.1840890593
"PRest,GFR,Free,Vmax_baso",414440.3426788332
"PL,Kbile,GFR,Free",336423.1800818466
"PK,Kbile,GFR,Free",320114.33833541657
"Kbile,GFR,Free,Vmax_baso",306621.8380854082
"Kbile,GFR,Free,Km_baso",306090.5858844403
"PK,PL,GFR,Free",285021.017116986
"PL,GFR,Free,Vmax_baso",275141.6392245773
"PL,GFR,Free,Km_baso",273812.3637640569
"PK,GFR,Free,Vmax_baso",253195.38234301234
"PK,GFR,Free,Km_baso",251196.65324957357
"GFR,Free,Vmax_baso,Km_baso",239741.3272815687
"GFR,Vmax_baso,Kurine,Kreab",54363.444955267965
"Free,Vmax_baso,Kurine,Kreab",54342.38533940132
"Vmax_baso,Km_baso,Kurine,Kreab",51375.886814207486
"PL,GFR,Vmax_baso,Kurine",50544.00941279495
"PL,Free,Vmax_baso,Kurine",50542.35818567573
"Kbile,Free,Vmax_baso,Kurine",49486.27874254807
"Kbile,GFR,Vmax_baso,Kurine",49482.43168997593
"PK,Vmax_baso,Kurine,Kreab",48496.303177059104
"PK,Vmax_baso,Km_baso,Kurine",48080.12551776454
"PL,Vmax_baso,Km_baso,Kurine",47883.75774443249
"Kbile,Vmax_baso,Km_baso,Kurine",47691.354118333584
"PRest,Vmax_baso,Km_baso,Kurine",47186.091990976085
"Free,Vmax_baso,Km_baso,Kurine",47024.250375228694
"GFR,Vmax_baso,Km_baso,Kurine",46978.67038708992
"PK,Free,Vmax_baso,Kurine",46207.92759627113
"PK,GFR,Vmax_baso,Kurine",46165.5142057514
"PL,Vmax_baso,Kurine,Kreab",45577.078321546745
"PK,Kbile,Vmax_baso,Kurine",45324.782481830305
"PK,PL,Vmax_baso,Kurine",45316.35927428463
"PRest,PK,Vmax_baso,Kurine",45285.76616313411
"PRest,Vmax_baso,Kurine,Kreab",45103.56642539007
"Kbile,Vmax_baso,Kurine,Kreab",44738.11008398842
"PRest,Free,Vmax_baso,Kurine",44196.25303243572
"PRest,GFR,Vmax_baso,Kurine",44161.08690488506
"PRest,PL,Vmax_baso,Kurine",42313.30595913477
"PRest,Kbile,Vmax_baso,Kurine",42217.54583878369
"PL,Kbile,Vmax_baso,Kurine",41892.80924922392
"Kbile,Free,Vmax_baso,Kreab",23093.176964958482
"Kbile,GFR,Vmax_baso,Kreab",23026.166389689668
"PL,Free,Vmax_baso,Kreab",22953.309979950795
"PL,GFR,Vmax_baso,Kreab",22888.365044262908
"PRest,Free,Vmax_baso,Kreab",22797.357815993095
"PRest,GFR,Vmax_baso,Kreab",22747.98547358169
"Free,Vmax_baso,Km_baso,Kreab",22618.713877018592
"PK,Free,Vmax_baso,Kreab",22615.308192026176
"GFR,Vmax_baso,Km_baso,Kreab",22568.301954231
"PK,GFR,Vmax_baso,Kreab",22564.040583448772
"Kbile,Vmax_baso,Km_baso,Kreab",21347.95539063189
"PL,Vmax_baso,Km_baso,Kreab",20932.059698948826
"PK,PL,Vmax_baso,Kreab",19543.720932544944
"PK,Kbile,Vmax_baso,Kreab",19518.35455363027
"PRest,Kbile,Vmax_baso,Kreab",18314.656375159935
"PRest,PL,Vmax_baso,Kreab",17993.35146132662
"PL,Kbile,Vmax_baso,Kreab",17963.64317604513
"PRest,Vmax_baso,Km_baso,Kreab",11921.498098630726
"PK,Vmax_baso,Km_baso,Kreab",11280.868137591313
"PRest,PK,Vmax_baso,Kreab",11201.086964819528
"GFR,Km_baso,Kurine,Kreab",6515.339945954197
"PL,GFR,Km_baso,Kurine",6258.738851447862
"Kbile,GFR,Km_baso,Kurine",6232.71218264786
"Free,Km_baso,Kurine,Kreab",5550.374102923361
"PK,GFR,Km_baso,Kurine",5454.467436235846
"PL,Free,Km_baso,Kurine",5358.645231619828
"Kbile,Free,Km_baso,Kurine",5348.435329986953
"PRest,GFR,Km_baso,Kurine",5254.281677752039
"PK,Free,Km_baso,Kurine",5249.283073626175
"PK,Km_baso,Kurine,Kreab",5162.428776557967
"PL,Km_baso,Kurine,Kreab",5126.76436318663
"PRest,Free,Km_baso,Kurine",5009.250251669394
"Kbile,Km_baso,Kurine,Kreab",4881.400863099053
"PRest,PK,Km_baso,Kurine",4815.725371972875
"PRest,Km_baso,Kurine,Kreab",4772.664108993202
"PK,PL,Km_baso,Kurine",4699.648832650131
"PK,Kbile,Km_baso,Kurine",4669.143440927077
"PK,GFR,Kurine,Kreab",4651.449564480823
"PRest,Kbile,Km_baso,Kurine",4396.818553418724
"PRest,PL,Km_baso,Kurine",4395.52198471528
"PL,Kbile,Km_baso,Kurine",4100.8383393074755
"PRest,GFR,Kurine,Kreab",4081.444982308527
"PL,GFR,Kurine,Kreab",4073.3254103086238
"PK,PL,GFR,Kurine",4013.5758587641085
"Kbile,GFR,Kurine,Kreab",3979.8436264070883
"PK,Kbile,GFR,Kurine",3833.4178874237086
"PRest,PL,GFR,Kurine",3477.8097359667677
"PRest,Kbile,GFR,Kurine",3458.756486559343
"PRest,Kbile,Free,Vmax_baso",3309.068898245613
"PL,Kbile,GFR,Kurine",3298.104611502688
"PRest,PL,Free,Vmax_baso",3183.3964752914067
"PRest,Free,Vmax_baso,Km_baso",3042.711670521121
"PRest,PK,Free,Vmax_baso",3039.4217057860137
"PRest,Kbile,GFR,Vmax_baso",2843.941116534372
"PL,GFR,Km_baso,Kreab",2838.12808610741
"Kbile,GFR,Km_baso,Kreab",2772.972581733743
"PRest,PL,GFR,Vmax_baso",2696.41697272017
"PRest,PK,GFR,Kurine",2674.0629552481055
"PRest,PL,Kbile,Vmax_baso",2661.464987810678
"PRest,PK,Kbile,Vmax_baso",2584.3762874699005
"PL,Kbile,Free,Vmax_baso",2577.165033174403
"PRest,GFR,Vmax_baso,Km_baso",2538.4695972714676
"PL,Free,Km_baso,Kreab",2536.7665753595547
"PRest,PK,GFR,Vmax_baso",2536.0094657155405
"Kbile,Free,Km_baso,Kreab",2478.8414295501548
"PRest,Kbile,Vmax_baso,Km_baso",2450.346572167352
"PRest,PK,PL,Vmax_baso",2374.864355376622
"Kbile,Free,Vmax_baso,Km_baso",2306.0654995379523
"PK,Kbile,Km_baso,Kreab",2302.7539991452804
"PK,PL,Km_baso,Kreab",2282.233324706873
"PK,Kbile,Free,Vmax_baso",2240.18110791502
"PRest,PL,Vmax_baso,Km_baso",2237.5751400704253
"PRest,PL,Km_baso,Kreab",2178.1318024449647
"PRest,Kbile,Km_baso,Kreab",2155.8512981567446
"PL,Free,Vmax_baso,Km_baso",2098.595831423939
"PL,Kbile,Km_baso,Kreab",2017.1116809119137
"PK,PL,Free,Vmax_baso",2005.694661032212
"PK,GFR,Km_baso,Kreab",1903.616931380351
"PK,Free,Km_baso,Kreab",1831.4671998309702
"PRest,PK,Vmax_baso,Km_baso",1804.6987248993328
"PK,Free,Vmax_baso,Km_baso",1803.315046957834
"PL,Kbile,GFR,Vmax_baso",1798.4168408406501
"PK,PL,GFR,Kreab",1789.1551927091489
"PK,Kbile,GFR,Kreab",1724.0085932058598
"PRest,GFR,Km_baso,Kreab",1676.013756194005
