subset,gamma
"PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5499161.433977494
"PRest,PL,GFR,Free,Vmax_baso,Km_baso,Kurine",5456476.579242166
"PRest,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5443421.44643314
"PRest,PK,PL,Kbile,GFR,Free,Kreab",2631679.3552972623
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Kreab",2618635.8480218775
"PRest,PK,PL,GFR,Free,Vmax_baso,Kreab",2615535.1463463577
"PRest,PK,GFR,Free,Vmax_baso,Km_baso,Kreab",2611516.144148235
"PRest,PK,PL,GFR,Free,Km_baso,Kreab",2610361.1689316435
"PRest,PK,Kbile,GFR,Free,Km_baso,Kreab",2607856.0771809425
"PK,PL,Kbile,GFR,Free,Km_baso,Kreab",2555322.5580252707
"PK,PL,Kbile,GFR,Free,Vmax_baso,Kreab",2553333.101299312
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Kreab",2535600.6164995404
"PK,PL,GFR,Free,Vmax_baso,Km_baso,Kreab",2535114.727697744
"PRest,PL,Kbile,GFR,Free,Km_baso,Kreab",2529088.898240932
"PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2528478.7906423067
"PRest,PL,GFR,Free,Vmax_baso,Km_baso,Kreab",2476732.8752511963
"PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2475464.5674424237
"PRest,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2462853.6412933306
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso",512168.50330687565
"PRest,PK,PL,Kbile,GFR,Free,Km_baso",504704.34937056334
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Km_baso",491088.1158083133
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Km_baso",490132.64743860567
"PRest,PK,PL,GFR,Free,Vmax_baso,Km_baso",467231.8533630681
"PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso",353171.7644284031
"PRest,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",57010.05676885538
"PRest,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",57004.56006510533
"PL,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",56698.24848174625
"PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56688.60915257354
"PK,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",56666.12718125483
"PK,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56653.579174019476
"PRest,PK,Free,Vmax_baso,Km_baso,Kurine,Kreab",56553.07161507138
"PRest,PK,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56540.93449663668
"PRest,PL,Free,Vmax_baso,Km_baso,Kurine,Kreab",56493.61738140084
"PRest,PL,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56487.357127604606
"PK,PL,Free,Vmax_baso,Km_baso,Kurine,Kreab",56332.72066271876
"PK,PL,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56318.554238876444
"PK,PL,Kbile,GFR,Vmax_baso,Kurine,Kreab",55037.18742968423
"PK,PL,Kbile,Free,Vmax_baso,Kurine,Kreab",55028.63936483053
"PRest,PK,Kbile,GFR,Vmax_baso,Kurine,Kreab",54989.45270104607
"PRest,PK,Kbile,Free,Vmax_baso,Kurine,Kreab",54977.8332342369
"PRest,PK,PL,GFR,Vmax_baso,Kurine,Kreab",54967.842610903885
"PRest,PK,PL,Free,Vmax_baso,Kurine,Kreab",54959.86718295082
"PRest,PL,Kbile,GFR,Vmax_baso,Kurine,Kreab",54917.38584184664
"PRest,PL,Kbile,Free,Vmax_baso,Kurine,Kreab",54896.445831615114
"PRest,PK,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",52906.0742406335
"PK,PL,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",52765.41936835651
"PRest,PK,PL,Vmax_baso,Km_baso,Kurine,Kreab",52731.348943595825
"PRest,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine",52104.802429630465
"PRest,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine",52083.94252123244
"PRest,PK,PL,Free,Vmax_baso,Km_baso,Kurine",52000.94640696202
"PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine",51998.297728892096
"PRest,PK,PL,GFR,Vmax_baso,Km_baso,Kurine",51976.45461512644
"PRest,PL,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",51976.20244117405
"PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine",51973.44078029323
"PRest,PK,Kbile,Free,Vmax_baso,Km_baso,Kurine",51364.92840575055
"PRest,PK,Kbile,GFR,Vmax_baso,Km_baso,Kurine",51334.861373607804
"PRest,PK,PL,Kbile,Free,Vmax_baso,Kurine",51107.86912690706
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Kurine",51101.56851787881
"PRest,PK,PL,Kbile,Vmax_baso,Km_baso,Kurine",49181.11913952559
"PRest,PK,PL,Kbile,Vmax_baso,Kurine,Kreab",49029.72942956455
"PRest,PL,Kbile,Free,Vmax_baso,Km_baso,Kreab",24386.785205148073
"PRest,PK,Kbile,Free,Vmax_baso,Km_baso,Kreab",24379.734152410903
"PRest,PL,Kbile,GFR,Vmax_baso,Km_baso,Kreab",24304.806775408702
"PRest,PK,Kbile,GFR,Vmax_baso,Km_baso,Kreab",24296.2228592677
"PRest,PK,PL,Free,Vmax_baso,Km_baso,Kreab",24119.238659617524
"PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kreab",24064.387845979178
"PRest,PK,PL,GFR,Vmax_baso,Km_baso,Kreab",24036.706626023013
"PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kreab",23980.523276171803
"PRest,PK,PL,Kbile,Free,Vmax_baso,Kreab",23516.820500005222
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Kreab",23447.44811720537
"PRest,PK,PL,Kbile,Vmax_baso,Km_baso,Kreab",22074.705672941614
"PRest,PL,Kbile,GFR,Km_baso,Kurine,Kreab",6841.65063744615
"PRest,PK,PL,GFR,Km_baso,Kurine,Kreab",6819.128444184014
"PK,PL,Kbile,GFR,Km_baso,Kurine,Kreab",6765.8315993536335
"PRest,PK,Kbile,GFR,Km_baso,Kurine,Kreab",6741.343327605787
"PRest,PK,PL,Kbile,GFR,Km_baso,Kurine",6314.698871344761
"PRest,PK,PL,Free,Km_baso,Kurine,Kreab",6294.343060339517
"PRest,PL,Kbile,Free,Km_baso,Kurine,Kreab",6240.737239182037
"PRest,PK,Kbile,Free,Km_baso,Kurine,Kreab",6235.3597810645015
"PK,PL,Kbile,Free,Km_baso,Kurine,Kreab",6173.645869296266
"PRest,PK,PL,Kbile,Km_baso,Kurine,Kreab",5970.383176091924
"PRest,PK,PL,Kbile,Free,Km_baso,Kurine",5591.773549032976
"PRest,PK,PL,Kbile,GFR,Kurine,Kreab",4900.393507290953
"PRest,PK,PL,Kbile,Free,Vmax_baso,Km_baso",3745.298283051562
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Km_baso",3257.1455957666726
"PRest,PK,PL,Kbile,GFR,Km_baso,Kreab",2914.5383349409544
"PRest,PK,PL,Kbile,Free,Km_baso,Kreab",2692.056413043641
"PRest,PK,PL,Kbile,Free,Kurine,Kreab",1742.015731894037
