subset,gamma
"PRest,PK,Kbile,GFR,Free,Kurine,Kreab",6365774.360617808
"PRest,PK,PL,GFR,Free,Kurine,Kreab",6251946.422859818
"PRest,PK,GFR,Free,Km_baso,Kurine,Kreab",6172886.605436489
"PRest,PK,GFR,Free,Vmax_baso,Kurine,Kreab",6150217.875581797
"PK,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6140793.6259344015
"PK,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6139505.264994971
"PK,PL,Kbile,GFR,Free,Kurine,Kreab",6128452.38183983
"PRest,PL,Kbile,GFR,Free,Kurine,Kreab",6120898.202661023
"PRest,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6108554.473348393
"PRest,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6104291.425261019
"PK,PL,GFR,Free,Km_baso,Kurine,Kreab",6057401.257700155
"PK,PL,GFR,Free,Vmax_baso,Kurine,Kreab",6036795.640606992
"PK,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6026812.209826134
"PL,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",5969410.8707546005
"PL,Kbile,GFR,Free,Km_baso,Kurine,Kreab",5964006.879594227
"Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5937422.059622514
"PRest,PL,GFR,Free,Vmax_baso,Kurine,Kreab",5913665.224291734
"PRest,PL,GFR,Free,Km_baso,Kurine,Kreab",5912300.273446868
"PRest,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5868280.092787571
"PRest,PK,PL,Kbile,GFR,Free,Kurine",5818979.552599389
"PL,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5789016.417208403
"PRest,PK,Kbile,GFR,Free,Km_baso,Kurine",5788914.569373229
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Kurine",5773162.256012531
"PRest,PK,PL,GFR,Free,Km_baso,Kurine",5770889.96483267
"PRest,PK,GFR,Free,Vmax_baso,Km_baso,Kurine",5767671.842829363
"PRest,PK,PL,GFR,Free,Vmax_baso,Kurine",5751640.870577757
"PK,PL,Kbile,GFR,Free,Km_baso,Kurine",5681437.0923093585
"PK,PL,Kbile,GFR,Free,Vmax_baso,Kurine",5645499.514441318
"PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5625262.149619606
"PK,PL,GFR,Free,Vmax_baso,Km_baso,Kurine",5620593.855396635
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Kurine",5604301.878623034
"PRest,PL,Kbile,GFR,Free,Km_baso,Kurine",5604212.33840811
