subset,gamma
"GFR,Free",236758.14102331872
"Vmax_baso,Kurine",41541.3909308861
"Vmax_baso,Kreab",8734.01980227136
"Km_baso,Kurine",3934.7925955770575
"GFR,Kurine",2080.192959605359
"Free,Vmax_baso",1743.3900068634055
"PRest,Vmax_baso",1558.5237036512217
"Km_baso,Kreab",1380.6147208477487
"Kbile,Vmax_baso",1205.6151680122084
"PL,Vmax_baso",795.415895769583
"PK,Kurine",748.8628780691024
"GFR,Kreab",593.8830620904597
"PK,Kreab",335.1429919546001
"PRest,Km_baso",205.63519202988496
"PL,Kurine",176.116718742424
"Free,Km_baso",154.18938684499935
"Kbile,Km_baso",132.34551995106696
"Kbile,Kurine",126.73803508917503
"Kbile,GFR",118.3539862331378
"PRest,GFR",91.72700237471798
"PL,Km_baso",89.44127568538345
"Free,Kurine",86.9569920057191
"PL,GFR",80.0723792532415
"GFR,Vmax_baso",72.87510838003
"PL,Kbile",56.52208362362324
"PRest,PK",51.059364719238225
"PL,Kreab",50.58696231523097
"PK,Free",35.77109734918283
"PRest,Kurine",33.639088424428536
"Kbile,Kreab",33.19851529622098
"PK,Kbile",27.38082111138614
"Free,Kreab",24.991932517628424
"PK,Vmax_baso",20.12430560906184
"PK,PL",18.523445662315936
"PL,Free",14.57198460386267
"PRest,Kreab",14.25163457457674
"Kbile,Free",12.592658603370332
"PRest,PL",7.600926361651837
"GFR,Km_baso",6.5211491297715005
"PRest,Kbile",5.839046090774016
"Vmax_baso,Km_baso",5.558356393506153
"PRest,Free",5.509447549982162
"Kurine,Kreab",4.519446015280846
"PK,Km_baso",3.99536033658134
"PK,GFR",1.8415069138294826
