param,mu_star,sigma
PRest,1.2909522141327234,1.6626093075030306
PK,0.008027712479867787,0.01699270799188809
PL,0.1592801554007368,0.25021760199842114
Kbile,0.2189241536508295,0.2985712029669924
GFR,0.6795816787862545,1.1896313641521548
Free,0.39456740813704255,0.7409797559136196
Vmax_baso,0.5827323616879971,1.1901818174201722
Km_baso,1.9131303335170096,2.505013532494352
Kurine,0.6963253004429923,1.2851634574387283
Kreab,0.40502795699521493,0.9189402747974326
