subset,gamma
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6390854.501869294
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6389331.048392243
"PRest,PK,PL,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6368369.86323803
"PRest,PK,PL,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6268996.204660605
"PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6155541.087150769
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6139403.371584572
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5843969.399736659
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2646292.299470973
"PRest,PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",57138.17482382407
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",57129.09817393161
