subset,gamma
"GFR,Free,Kurine",5325892.7730434
"GFR,Free,Kreab",2354693.5342455283
"PRest,GFR,Free",412456.91162055597
"Kbile,GFR,Free",305340.2423466553
"PL,GFR,Free",273453.2041577827
"PK,GFR,Free",251180.86855502176
"GFR,Free,Km_baso",239360.80848812425
"GFR,Free,Vmax_baso",237475.1519781068
"Vmax_baso,Km_baso,Kurine",46886.87483259594
"PK,Vmax_baso,Kurine",45203.52680903555
"Vmax_baso,Kurine,Kreab",44518.81112151159
"Free,Vmax_baso,Kurine",43986.033657286185
"GFR,Vmax_baso,Kurine",43948.816280019855
"PRest,Vmax_baso,Kurine",41951.9854626226
"PL,Vmax_baso,Kurine",41591.099122863176
"Kbile,Vmax_baso,Kurine",41579.35267215323
"Free,Vmax_baso,Kreab",22610.100946132246
"GFR,Vmax_baso,Kreab",22559.051003517692
"Kbile,Vmax_baso,Kreab",17936.22908516176
"PL,Vmax_baso,Kreab",17597.055262079757
"PRest,Vmax_baso,Kreab",10994.925342218503
"Vmax_baso,Km_baso,Kreab",9778.603813366266
"PK,Vmax_baso,Kreab",9282.124855037206
"GFR,Km_baso,Kurine",5241.543331023258
"Free,Km_baso,Kurine",4953.632679727439
"Km_baso,Kurine,Kreab",4525.8985966745895
"PK,Km_baso,Kurine",4495.625172999166
"PRest,Km_baso,Kurine",4384.969179771198
"Kbile,Km_baso,Kurine",4098.569094047408
"PL,Km_baso,Kurine",4097.3541757662415
"GFR,Kurine,Kreab",3882.775180544496
"PL,GFR,Kurine",3290.819772352787
"Kbile,GFR,Kurine",3272.457220654802
"PRest,Free,Vmax_baso",3012.481379704775
"PRest,GFR,Kurine",2548.422707787802
"PRest,GFR,Vmax_baso",2513.515713842339
"PRest,Kbile,Vmax_baso",2447.8941899229458
"PK,GFR,Kurine",2286.2393558333906
"PRest,PL,Vmax_baso",2237.5050385972086
"Kbile,Free,Vmax_baso",2229.9203981818223
"PL,Km_baso,Kreab",2009.3958046756586
"PL,Free,Vmax_baso",2003.1594301756038
"Kbile,Km_baso,Kreab",1994.841740443688
"Free,Vmax_baso,Km_baso",1764.5760848649736
"PK,Free,Vmax_baso",1756.4020800310786
"PRest,Vmax_baso,Km_baso",1691.2012479659504
"GFR,Km_baso,Kreab",1627.684059150293
"Free,Km_baso,Kreab",1593.8244298586376
"PRest,PK,Vmax_baso",1583.9472286708592
"PL,Kbile,Vmax_baso",1506.3447301783056
"Kbile,GFR,Kreab",1473.7046413378855
"PL,GFR,Kreab",1463.965544340231
"PRest,Km_baso,Kreab",1435.6773925278496
"PK,Km_baso,Kreab",1415.8251112525775
"Kbile,GFR,Vmax_baso",1398.1096620161352
"PL,Kbile,Kurine",1354.7995351296004
"PK,Kbile,Vmax_baso",1275.6572789834222
"Kbile,Vmax_baso,Km_baso",1208.3362607662107
"PL,Kurine,Kreab",1020.1432535594121
"PL,GFR,Vmax_baso",960.6466303270233
"PK,PL,Vmax_baso",847.9648964218469
"PK,Free,Kurine",815.6949792402094
"PK,Kurine,Kreab",806.609050580344
"PRest,GFR,Kreab",796.1278887492375
"PL,Vmax_baso,Km_baso",796.0599762290373
"PRest,PK,Kurine",783.079294381491
"PK,Kbile,Kurine",752.3522962396142
"PK,PL,Kurine",749.9369636302482
"PK,GFR,Kreab",653.6201319413029
"PL,Kbile,Kreab",639.1303101373957
"Kbile,Kurine,Kreab",612.423411814522
"PK,Free,Kreab",360.6924570593579
"PRest,PK,Kreab",356.9965133061658
"PK,Kbile,Kreab",341.10187748968247
"PK,PL,Kreab",339.15863982622216
"PL,Free,Kurine",299.39638905598713
"PRest,Kbile,Km_baso",287.5988290737115
"PRest,Free,Km_baso",267.9815631580211
"PRest,PL,Km_baso",267.18550046016
"PRest,Kbile,GFR",251.26961461831925
"Kbile,Free,Km_baso",245.76387071514893
"PRest,PL,GFR",234.37992952553162
"Kbile,Free,Kurine",229.30472424027317
"PRest,GFR,Km_baso",227.33464733450714
"PRest,PK,Km_baso",218.06352645550115
"PL,Free,Km_baso",211.61236289593103
"PRest,PL,Kurine",207.52577559311086
"Kbile,GFR,Km_baso",179.60416710065374
"PK,Free,Km_baso",170.27312073606956
"Free,Kurine,Kreab",162.30892339874774
"PL,Kbile,Km_baso",161.90176229172235
"PRest,Kbile,Kurine",150.18459124643425
"PK,Kbile,Km_baso",145.84633566527225
"PL,Kbile,GFR",143.45474860132717
"PK,Kbile,GFR",138.46616240071353
"PL,Free,Kreab",136.8636984515084
"PL,GFR,Km_baso",116.53842647627067
"PRest,Free,Kurine",109.32883958599977
"Kbile,Free,Kreab",100.69163003333247
"PRest,PL,Kbile",99.53814321032702
"PK,PL,Km_baso",97.81335216321818
"PK,PL,GFR",97.71059250998378
"PRest,PK,GFR",92.74009113934716
"PK,GFR,Vmax_baso",81.53178640071881
"PL,Kbile,Free",81.18981223637189
"GFR,Vmax_baso,Km_baso",74.2547623880638
"PRest,PL,Kreab",65.53444844045974
"PRest,PK,Free",61.75173400461669
"PK,PL,Kbile",59.40125058101527
"PRest,PK,Kbile",57.768981137028035
"PRest,PK,PL",54.41261837230332
"PK,Kbile,Free",51.322985360827346
"PK,PL,Free",47.81639092564192
"PRest,Kbile,Kreab",43.96844647005847
"PRest,Kurine,Kreab",42.2748254843509
"PRest,Free,Kreab",36.01984295462476
"PK,Vmax_baso,Km_baso",28.324499986707536
"PRest,PL,Free",23.054839332792124
"PRest,Kbile,Free",18.642730860287173
"PK,GFR,Km_baso",8.012654121425784
