subset,gamma
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6389197.3702682685
"PRest,PK,PL,Kbile,GFR,Free,Kurine,Kreab",6367583.919432414
"PRest,PK,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6366670.526443767
"PRest,PK,PL,GFR,Free,Vmax_baso,Kurine,Kreab",6266805.829627923
"PRest,PK,PL,GFR,Free,Km_baso,Kurine,Kreab",6257568.326403926
"PRest,PK,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6180187.735650615
"PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6149244.860584323
"PK,PL,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6146515.144774531
"PK,PL,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6143919.969552205
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",6130032.751182507
"PRest,PL,Kbile,GFR,Free,Km_baso,Kurine,Kreab",6125375.755853595
"PRest,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6121247.749343979
"PK,PL,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",6060923.460949603
"PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5969653.356374411
"PRest,PL,GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5914761.417253988
"PRest,PK,PL,Kbile,GFR,Free,Km_baso,Kurine",5838709.21086935
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Kurine",5828797.788733216
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5789937.171821635
"PRest,PK,PL,GFR,Free,Vmax_baso,Km_baso,Kurine",5773502.74867621
"PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5683451.180153724
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5605775.368228335
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Kreab",2645570.036515311
"PRest,PK,PL,Kbile,GFR,Free,Km_baso,Kreab",2634933.1379811415
"PRest,PK,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2618659.700070238
"PRest,PK,PL,GFR,Free,Vmax_baso,Km_baso,Kreab",2617837.6993296123
"PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2560894.249065164
"PRest,PL,Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2536425.1680276864
"PRest,PK,PL,Kbile,GFR,Free,Vmax_baso,Km_baso",512464.174446173
"PRest,PK,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",57101.99807868055
"PRest,PK,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",57092.71716825945
"PRest,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",57073.374677830805
"PRest,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",57067.436250461884
"PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",56736.14954863616
"PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56724.09022776872
"PRest,PK,PL,Free,Vmax_baso,Km_baso,Kurine,Kreab",56698.27292792035
"PRest,PK,PL,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56686.741521615055
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Kurine,Kreab",55172.481883062464
"PRest,PK,PL,Kbile,Free,Vmax_baso,Kurine,Kreab",55161.44372537113
"PRest,PK,PL,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",52923.85265241631
"PRest,PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kurine",52199.51799177739
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine",52175.61259052026
"PRest,PK,PL,Kbile,Free,Vmax_baso,Km_baso,Kreab",24411.284150810352
"PRest,PK,PL,Kbile,GFR,Vmax_baso,Km_baso,Kreab",24328.02500061603
"PRest,PK,PL,Kbile,GFR,Km_baso,Kurine,Kreab",6842.420282937496
"PRest,PK,PL,Kbile,Free,Km_baso,Kurine,Kreab",6357.76063311522
