subset,gamma
"PRest,PK,Kbile,GFR,Free,Km_baso",484892.9964770869
"PRest,PK,PL,GFR,Free,Vmax_baso",467229.22894082416
"PRest,PK,PL,GFR,Free,Km_baso",462026.9125300362
"PRest,Kbile,GFR,Free,Vmax_baso,Km_baso",461167.39341552765
"PRest,PK,GFR,Free,Vmax_baso,Km_baso",447169.47930101113
"PRest,PL,GFR,Free,Vmax_baso,Km_baso",442159.48790382064
"PK,PL,Kbile,GFR,Free,Vmax_baso",353137.202151314
"PK,PL,Kbile,GFR,Free,Km_baso",348645.1403965584
"PL,Kbile,GFR,Free,Vmax_baso,Km_baso",341465.6833841327
"PK,Kbile,GFR,Free,Vmax_baso,Km_baso",322827.56164415745
"PK,PL,GFR,Free,Vmax_baso,Km_baso",287731.0084834028
"Kbile,Free,Vmax_baso,Km_baso,Kurine,Kreab",56597.79955559444
"Kbile,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56588.48584400466
"PRest,Free,Vmax_baso,Km_baso,Kurine,Kreab",56379.631361309126
"PRest,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56372.4020142415
"PK,Free,Vmax_baso,Km_baso,Kurine,Kreab",56262.08865755847
"PK,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56247.80370623672
"PL,Free,Vmax_baso,Km_baso,Kurine,Kreab",56182.66545717635
"PL,GFR,Vmax_baso,Km_baso,Kurine,Kreab",56173.126194010176
"PRest,PK,GFR,Vmax_baso,Kurine,Kreab",54926.6341520796
"PRest,PK,Free,Vmax_baso,Kurine,Kreab",54917.145122561284
"PK,PL,GFR,Vmax_baso,Kurine,Kreab",54835.151051572946
"PK,Kbile,GFR,Vmax_baso,Kurine,Kreab",54830.13999662116
"PK,PL,Free,Vmax_baso,Kurine,Kreab",54829.53108655774
"PK,Kbile,Free,Vmax_baso,Kurine,Kreab",54821.50359566476
"PL,Kbile,GFR,Vmax_baso,Kurine,Kreab",54811.774452882724
"PL,Kbile,Free,Vmax_baso,Kurine,Kreab",54793.11945297261
"PRest,PL,GFR,Vmax_baso,Kurine,Kreab",54564.53079308624
"PRest,Kbile,GFR,Vmax_baso,Kurine,Kreab",54552.49863327706
"PRest,PL,Free,Vmax_baso,Kurine,Kreab",54545.183589399356
"PRest,Kbile,Free,Vmax_baso,Kurine,Kreab",54526.60532860189
"PK,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",52739.615118953305
"PRest,PK,Vmax_baso,Km_baso,Kurine,Kreab",52646.605317181195
"PK,PL,Vmax_baso,Km_baso,Kurine,Kreab",52581.08338667902
"PL,Kbile,Free,Vmax_baso,Km_baso,Kurine",51926.31675918106
"PL,Kbile,GFR,Vmax_baso,Km_baso,Kurine",51904.16513128249
"PL,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",51882.297112827015
"PRest,Kbile,Vmax_baso,Km_baso,Kurine,Kreab",51853.435415677166
"PRest,PL,Free,Vmax_baso,Km_baso,Kurine",51810.000713886955
"PK,PL,Free,Vmax_baso,Km_baso,Kurine",51803.32774447706
"PRest,PL,GFR,Vmax_baso,Km_baso,Kurine",51789.85781769953
"PK,PL,GFR,Vmax_baso,Km_baso,Kurine",51777.91378815871
"PRest,PL,Vmax_baso,Km_baso,Kurine,Kreab",51485.30896071328
"PK,Kbile,Free,Vmax_baso,Km_baso,Kurine",51131.860428523054
"PK,Kbile,GFR,Vmax_baso,Km_baso,Kurine",51100.75150352883
"PK,PL,Kbile,Free,Vmax_baso,Kurine",51002.540573772196
"PK,PL,Kbile,GFR,Vmax_baso,Kurine",50995.124902583724
"PRest,PK,PL,Free,Vmax_baso,Kurine",50982.8306174542
"PRest,PK,PL,GFR,Vmax_baso,Kurine",50975.38036748123
"PRest,Kbile,Free,Vmax_baso,Km_baso,Kurine",50908.07135016619
"PRest,Kbile,GFR,Vmax_baso,Km_baso,Kurine",50882.77810476932
"PRest,PL,Kbile,GFR,Vmax_baso,Kurine",50867.02212617689
"PRest,PL,Kbile,Free,Vmax_baso,Kurine",50865.03546629729
"PRest,PK,Kbile,Free,Vmax_baso,Kurine",50321.80948844991
"PRest,PK,Kbile,GFR,Vmax_baso,Kurine",50307.25545308297
"PK,PL,Kbile,Vmax_baso,Km_baso,Kurine",49060.03086154877
"PRest,PK,PL,Vmax_baso,Km_baso,Kurine",49052.90845713551
"PRest,PK,PL,Vmax_baso,Kurine,Kreab",49001.98468322032
"PRest,PK,Kbile,Vmax_baso,Km_baso,Kurine",48975.62764424769
"PK,PL,Kbile,Vmax_baso,Kurine,Kreab",48856.05805353015
"PRest,PK,Kbile,Vmax_baso,Kurine,Kreab",48835.189365277074
"PRest,PK,Free,Vmax_baso,Km_baso,Kurine",48776.60994798435
"PRest,PK,GFR,Vmax_baso,Km_baso,Kurine",48730.12410651252
"PRest,PL,Kbile,Vmax_baso,Km_baso,Kurine",48337.99995993645
"PRest,PL,Kbile,Vmax_baso,Kurine,Kreab",46440.059448068314
"PRest,PK,PL,Kbile,Vmax_baso,Kurine",45507.54714427243
"PRest,Kbile,Free,Vmax_baso,Km_baso,Kreab",24349.262330669946
"PRest,Kbile,GFR,Vmax_baso,Km_baso,Kreab",24266.836724559093
"PL,Kbile,Free,Vmax_baso,Km_baso,Kreab",24052.61438463791
"PRest,PL,Free,Vmax_baso,Km_baso,Kreab",24030.535250991998
"PK,Kbile,Free,Vmax_baso,Km_baso,Kreab",24030.175182801016
"PL,Kbile,GFR,Vmax_baso,Km_baso,Kreab",23969.62516339754
"PRest,PL,GFR,Vmax_baso,Km_baso,Kreab",23950.772551428505
"PK,Kbile,GFR,Vmax_baso,Km_baso,Kreab",23945.83744200093
"PK,PL,Free,Vmax_baso,Km_baso,Kreab",23777.572279586908
"PK,PL,GFR,Vmax_baso,Km_baso,Kreab",23694.440118580012
"PRest,PK,Kbile,Free,Vmax_baso,Kreab",23461.253870198918
"PRest,PL,Kbile,Free,Vmax_baso,Kreab",23411.44031382947
"PRest,PK,Kbile,GFR,Vmax_baso,Kreab",23390.747771693023
"PRest,PL,Kbile,GFR,Vmax_baso,Kreab",23346.553801591293
"PRest,PK,PL,Free,Vmax_baso,Kreab",23331.540165109815
"PK,PL,Kbile,Free,Vmax_baso,Kreab",23300.688460725825
"PRest,PK,PL,GFR,Vmax_baso,Kreab",23261.934364216693
"PK,PL,Kbile,GFR,Vmax_baso,Kreab",23229.943930447822
"PRest,PK,Free,Vmax_baso,Km_baso,Kreab",22810.136394919977
"PRest,PK,GFR,Vmax_baso,Km_baso,Kreab",22761.402411773455
"PRest,PK,Kbile,Vmax_baso,Km_baso,Kreab",21891.910701751312
"PK,PL,Kbile,Vmax_baso,Km_baso,Kreab",21829.51922224041
"PRest,PK,PL,Vmax_baso,Km_baso,Kreab",21817.64345172124
"PRest,PL,Kbile,Vmax_baso,Km_baso,Kreab",21613.205878255863
"PRest,PK,PL,Kbile,Vmax_baso,Kreab",19819.688909299894
"PRest,PL,GFR,Km_baso,Kurine,Kreab",6818.71383246672
"PL,Kbile,GFR,Km_baso,Kurine,Kreab",6765.112672389065
"PK,PL,GFR,Km_baso,Kurine,Kreab",6747.530748225607
"PRest,Kbile,GFR,Km_baso,Kurine,Kreab",6731.842916426884
"PK,Kbile,GFR,Km_baso,Kurine,Kreab",6688.61585687544
"PRest,PK,GFR,Km_baso,Kurine,Kreab",6534.812578177891
"PRest,PL,Kbile,GFR,Km_baso,Kurine",6313.627458409968
"PRest,PK,PL,GFR,Km_baso,Kurine",6304.67583599305
"PRest,PK,Kbile,GFR,Km_baso,Kurine",6278.4555292633195
"PK,PL,Kbile,GFR,Km_baso,Kurine",6270.514516177293
"PRest,PL,Free,Km_baso,Kurine,Kreab",6214.846598142471
"PK,PL,Free,Km_baso,Kurine,Kreab",6116.1217090197015
"PK,Kbile,Free,Km_baso,Kurine,Kreab",6089.267524168968
"PRest,Kbile,Free,Km_baso,Kurine,Kreab",6020.724413851825
"PL,Kbile,Free,Km_baso,Kurine,Kreab",6016.877273386565
"PRest,PK,PL,Km_baso,Kurine,Kreab",5870.741868858223
"PRest,PK,Kbile,Km_baso,Kurine,Kreab",5857.472416689468
"PRest,PK,Free,Km_baso,Kurine,Kreab",5789.235945827848
"PK,PL,Kbile,Km_baso,Kurine,Kreab",5701.876047738364
"PRest,PK,Kbile,Free,Km_baso,Kurine",5590.131457961647
"PRest,PL,Kbile,Km_baso,Kurine,Kreab",5568.191383437983
"PRest,PK,PL,Free,Km_baso,Kurine",5566.13472897926
"PRest,PL,Kbile,Free,Km_baso,Kurine",5496.711770552782
"PK,PL,Kbile,Free,Km_baso,Kurine",5488.020515978202
"PRest,PK,PL,Kbile,Km_baso,Kurine",4904.3721516730775
"PRest,PK,Kbile,GFR,Kurine,Kreab",4897.405550282703
"PRest,PK,PL,GFR,Kurine,Kreab",4842.107863676387
"PK,PL,Kbile,GFR,Kurine,Kreab",4781.252042847938
"PRest,PL,Kbile,GFR,Kurine,Kreab",4329.342226102311
"PRest,PK,PL,Kbile,GFR,Kurine",4119.314197001095
"PRest,PL,Kbile,Free,Vmax_baso,Km_baso",3741.657324657261
"PRest,PK,PL,Kbile,Free,Vmax_baso",3654.8941463039996
"PRest,PK,Kbile,Free,Vmax_baso,Km_baso",3452.6331533669822
"PRest,PK,PL,Free,Vmax_baso,Km_baso",3343.218229260943
"PRest,PL,Kbile,GFR,Vmax_baso,Km_baso",3254.2703208190524
"PRest,PK,PL,Kbile,GFR,Vmax_baso",3177.2561325922215
"PRest,PK,Kbile,GFR,Vmax_baso,Km_baso",2968.144071935983
"PRest,PL,Kbile,GFR,Km_baso,Kreab",2913.7498030803968
"PRest,PK,PL,GFR,Km_baso,Kreab",2894.8065048800236
"PK,PL,Kbile,GFR,Km_baso,Kreab",2857.7696189763083
"PRest,PK,Kbile,GFR,Km_baso,Kreab",2844.072734628787
"PRest,PK,PL,GFR,Vmax_baso,Km_baso",2832.8654671625795
"PRest,PK,PL,Kbile,Vmax_baso,Km_baso",2763.5368257926234
"PRest,PK,PL,Free,Km_baso,Kreab",2669.425852958718
"PRest,PK,Kbile,Free,Km_baso,Kreab",2660.0752323372017
"PK,PL,Kbile,Free,Vmax_baso,Km_baso",2650.220149566515
"PRest,PL,Kbile,Free,Km_baso,Kreab",2645.5477829088427
"PK,PL,Kbile,Free,Km_baso,Kreab",2609.3610351931566
"PRest,PK,PL,Kbile,Km_baso,Kreab",2408.8050722474454
"PK,PL,Kbile,GFR,Vmax_baso,Km_baso",1850.4736406403301
"PRest,PK,PL,Kbile,GFR,Kreab",1836.4462039675695
"PRest,PK,PL,Kbile,Kurine,Kreab",1735.6702688062333
"PK,PL,Kbile,Free,Kurine,Kreab",1728.3225051601953
"PRest,PL,Kbile,Free,Kurine,Kreab",1609.0009370869075
"PRest,PK,PL,Kbile,Free,Kurine",1507.9897562735975
"PRest,PK,PL,Free,Kurine,Kreab",1149.1251559152047
"PRest,PK,Kbile,Free,Kurine,Kreab",982.3195080090117
"PRest,PK,PL,Kbile,Free,Kreab",714.3146635479251
"PRest,PK,PL,Kbile,Free,Km_baso",404.3945708236771
"PRest,PK,PL,Kbile,GFR,Km_baso",385.25817399594285
