subset,gamma
"PRest,PK,GFR,Free,Kurine,Kreab",6133494.066720886
"PK,Kbile,GFR,Free,Kurine,Kreab",6125039.428622133
"PRest,Kbile,GFR,Free,Kurine,Kreab",6098215.556984175
"PK,PL,GFR,Free,Kurine,Kreab",6027426.662189761
"PK,GFR,Free,Km_baso,Kurine,Kreab",6024202.604182803
"PK,GFR,Free,Vmax_baso,Kurine,Kreab",5973556.499163738
"PL,Kbile,GFR,Free,Kurine,Kreab",5962715.9002259215
"Kbile,GFR,Free,Vmax_baso,Kurine,Kreab",5936949.841473848
"Kbile,GFR,Free,Km_baso,Kurine,Kreab",5933201.763153143
"PRest,PL,GFR,Free,Kurine,Kreab",5911860.442278063
"PRest,GFR,Free,Km_baso,Kurine,Kreab",5866919.584122208
"PRest,GFR,Free,Vmax_baso,Kurine,Kreab",5864788.690455306
"PL,GFR,Free,Km_baso,Kurine,Kreab",5788676.149574793
"PL,GFR,Free,Vmax_baso,Kurine,Kreab",5785433.954026097
"GFR,Free,Vmax_baso,Km_baso,Kurine,Kreab",5770684.327270075
"PRest,PK,Kbile,GFR,Free,Kurine",5769709.670294134
"PRest,PK,GFR,Free,Km_baso,Kurine",5761550.588943338
"PRest,PK,PL,GFR,Free,Kurine",5745045.065396164
"PRest,PK,GFR,Free,Vmax_baso,Kurine",5740286.8474873975
"PK,PL,Kbile,GFR,Free,Kurine",5638528.781434961
"PK,Kbile,GFR,Free,Km_baso,Kurine",5625259.193823
"PK,PL,GFR,Free,Km_baso,Kurine",5619956.595934063
"PK,GFR,Free,Vmax_baso,Km_baso,Kurine",5618745.11065882
"PRest,PL,Kbile,GFR,Free,Kurine",5601906.7611271255
"PK,Kbile,GFR,Free,Vmax_baso,Kurine",5584215.243368386
"PK,PL,GFR,Free,Vmax_baso,Kurine",5573500.080898848
"PL,Kbile,GFR,Free,Km_baso,Kurine",5498740.821424079
"PL,Kbile,GFR,Free,Vmax_baso,Kurine",5487726.134876978
"PRest,PL,GFR,Free,Km_baso,Kurine",5456476.252161564
"PRest,PL,GFR,Free,Vmax_baso,Kurine",5452932.744362458
"PRest,Kbile,GFR,Free,Vmax_baso,Kurine",5442697.129377322
"PRest,Kbile,GFR,Free,Km_baso,Kurine",5441274.624123162
"PRest,GFR,Free,Vmax_baso,Km_baso,Kurine",5439952.449334956
"PL,GFR,Free,Vmax_baso,Km_baso,Kurine",5367638.568219039
"Kbile,GFR,Free,Vmax_baso,Km_baso,Kurine",5344201.474209329
"PRest,PK,GFR,Free,Vmax_baso,Kreab",2611396.1626200993
"PRest,PK,Kbile,GFR,Free,Kreab",2606693.022521775
"PRest,PK,PL,GFR,Free,Kreab",2605211.813951366
"PRest,PK,GFR,Free,Km_baso,Kreab",2599561.3911626213
"PK,PL,Kbile,GFR,Free,Kreab",2543568.4106822163
"PK,PL,GFR,Free,Km_baso,Kreab",2531986.534531737
"PRest,PL,Kbile,GFR,Free,Kreab",2529063.6995750368
"PK,Kbile,GFR,Free,Vmax_baso,Kreab",2524251.3580548777
"PK,PL,GFR,Free,Vmax_baso,Kreab",2523721.773595863
"PK,Kbile,GFR,Free,Km_baso,Kreab",2523511.4665325275
"PK,GFR,Free,Vmax_baso,Km_baso,Kreab",2517725.455387824
"PRest,PL,GFR,Free,Vmax_baso,Kreab",2476716.1220824225
"PL,Kbile,GFR,Free,Vmax_baso,Kreab",2474813.102611597
"PRest,PL,GFR,Free,Km_baso,Kreab",2474349.13258803
"PL,Kbile,GFR,Free,Km_baso,Kreab",2471630.954340012
"PRest,Kbile,GFR,Free,Km_baso,Kreab",2457093.305362791
"PRest,Kbile,GFR,Free,Vmax_baso,Kreab",2455782.0683934405
"PRest,GFR,Free,Vmax_baso,Km_baso,Kreab",2454485.4853731347
"PL,GFR,Free,Vmax_baso,Km_baso,Kreab",2422683.97872606
"Kbile,GFR,Free,Vmax_baso,Km_baso,Kreab",2401115.699266372
"PRest,PK,PL,Kbile,GFR,Free",503371.6486290599
"PRest,PK,Kbile,GFR,Free,Vmax_baso",490025.1998214848
"PRest,PL,Kbile,GFR,Free,Vmax_baso",488526.05398843606
"PRest,PL,Kbile,GFR,Free,Km_baso",485175.59446959844
