,r_hat,ess_bulk,ess_tail
PRest,2.16,5.0,18.0
PK,1.29,10.0,28.0
PL,1.59,7.0,19.0
Kbile,2.25,5.0,23.0
GFR,1.87,6.0,12.0
Free,2.44,5.0,11.0
Vmax_baso,1.2,15.0,20.0
Km_baso,1.3,11.0,13.0
Kurine,1.02,305.0,404.0
Kreab,1.1,30.0,36.0
sigma,1.0,6769.0,6889.0
