,r_hat,ess_bulk,ess_tail
PRest,1.41,9.0,17.0
PK,2.04,5.0,33.0
PL,1.64,7.0,89.0
Kbile,1.58,7.0,14.0
GFR,2.09,5.0,11.0
Free,2.92,5.0,12.0
Vmax_baso,2.17,5.0,14.0
Km_baso,2.4,5.0,13.0
Kurine,2.34,5.0,16.0
Kreab,2.18,6.0,12.0
sigma,1.48,7.0,26.0
